initial_random_seq_files,orientation_index,orientation_degrees,correct_answer_index,correct_answer_direction,arrow_color,practice_seq_files,learning_seq_files,motor_testing_seq_files,init_random_block.thisRepN,init_random_block.thisTrialN,init_random_block.thisN,init_random_block.thisIndex,init_random_trials.thisRepN,init_random_trials.thisTrialN,init_random_trials.thisN,init_random_trials.thisIndex,practice_blocks.thisRepN,practice_blocks.thisTrialN,practice_blocks.thisN,practice_blocks.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,learning_loop.thisRepN,learning_loop.thisTrialN,learning_loop.thisN,learning_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,motor_testing_trials.thisRepN,motor_testing_trials.thisTrialN,motor_testing_trials.thisN,motor_testing_trials.thisIndex,motor_testing_loop.thisRepN,motor_testing_loop.thisTrialN,motor_testing_loop.thisN,motor_testing_loop.thisIndex,thisRow.t,notes,welcomescreen.started,spaceship.started,welcometext.started,welcome_end.started,welcomescreen.stopped,welcome_end.keys,welcome_end.rt,welcome_end.duration,pre_section.started,fixation_init.started,pre_section.stopped,trial.started,arrowhead.started,key_resp.started,arrowhead.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,fixation_feedback.started,cross.started,feedback_text.started,cross.stopped,feedback_text.stopped,fixation_feedback.stopped,RSI.started,text_2.started,RSI.stopped,text_2.stopped,post_section.started,feedback_post_section.started,key_resp_4.started,post_section.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,pratice_instruction.started,spaceship_rotated.started,rotation_instruction.started,key_resp_2.started,pratice_instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fixation_init.stopped,learning_instruction.started,spaceship_rotated01.started,rotation_instruction01.started,key_resp_02.started,learning_instruction.stopped,key_resp_02.keys,key_resp_02.rt,key_resp_02.duration,seqreport_instruction.started,seqreport_instruction_text.started,seqreport_instruction_key.started,seqreport_instruction.stopped,seqreport_instruction_key.keys,seqreport_instruction_key.rt,seqreport_instruction_key.duration,seqreport.started,seq_report_key.started,seqreport.stopped,seq_report_key.keys,seq_report_key.rt,seq_report_key.duration,seqarrow.started,arrow_report.started,arrow_report.stopped,seqarrow.stopped,motor_testing_instruction.started,spaceship3.started,motor_testing_instruction_text.started,key_resp_3.started,motor_testing_instruction.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,fixation.started,cross_2.started,cross_2.stopped,fixation.stopped,thankyouscreen.started,text.started,key_resp_6.started,thankyouscreen.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,participant,learning_type,seqID,debug,date,expName,psychopyVersion,frameRate,expStart,
sequences/sub139_initial_random.csv,3,270,3,1,red,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.169111200026236,,,,,,,,,,,,,18.162395399995148,18.169111200026236,18.169111200026236,18.370887199998833,18.483218800043687,1,1,0.30909929994959384,None,18.4839225000469,18.488376999972388,18.488376999972388,18.69686869997531,18.90518590004649,18.89948599995114,18.899534399970435,18.90518590004649,19.600172100006603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub139,motor,3,0,2024-12-20_13h46.09.441,ASRT_motor,2023.2.3,141.52639051660123,2024-12-20 13h59.12.588288 +0800,
sequences/sub139_initial_random.csv,0,0,0,4,red,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.606359599973075,,,,,,,,,,,,,19.600805699941702,19.606359599973075,19.606359599973075,19.807985699968413,19.99063280003611,4,1,0.37731420004274696,None,19.991394700016826,19.99707090004813,19.99707090004813,20.203784800018184,20.41180090000853,20.40538040001411,20.405401999945752,20.41180090000853,21.108002900029533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub139,motor,3,0,2024-12-20_13h46.09.441,ASRT_motor,2023.2.3,141.52639051660123,2024-12-20 13h59.12.588288 +0800,
sequences/sub139_initial_random.csv,2,180,2,2,red,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.115248800022528,,,,,,,,,,,,,21.108867199975066,21.115248800022528,21.115248800022528,21.314954399946146,21.441362699959427,2,1,0.32074659992940724,None,21.442062499932945,21.446787699940614,21.446787699940614,21.655119000002742,21.863445700029843,21.85798710002564,21.85802699998021,21.863445700029843,22.55823219998274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub139,motor,3,0,2024-12-20_13h46.09.441,ASRT_motor,2023.2.3,141.52639051660123,2024-12-20 13h59.12.588288 +0800,
sequences/sub139_initial_random.csv,2,180,2,2,red,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.564812200027518,,,,,,,,,,,,,22.558812199975364,22.564812200027518,22.564812200027518,22.766627299948595,22.930535199935548,2,1,0.36162940005306154,None,22.931257299962454,22.938750399975106,22.938750399975106,23.141021899995394,23.34965240000747,23.34420799999498,23.344253999996,23.34965240000747,24.044998400029726,24.051128500024788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub139,motor,3,0,2024-12-20_13h46.09.441,ASRT_motor,2023.2.3,141.52639051660123,2024-12-20 13h59.12.588288 +0800,
sequences/sub139_initial_random.csv,0,0,0,4,red,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.051128500024788,,,,,,,,,,,,,24.04553370003123,24.051128500024788,24.051128500024788,24.252636299934238,24.386659299954772,4,1,0.3296089000068605,None,24.38720410002861,24.392097200034186,24.392097200034186,24.599509099964052,24.807550700032152,24.80392249999568,24.803941300022416,24.807550700032152,25.502767199999653,25.50982160004787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub139,motor,3,0,2024-12-20_13h46.09.441,ASRT_motor,2023.2.3,141.52639051660123,2024-12-20 13h59.12.588288 +0800,
sequences/sub139_initial_random.csv,3,270,3,1,red,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.50982160004787,,,,,,,,,,,,,25.503578100004233,25.50982160004787,25.50982160004787,25.710728400037624,25.858941999962553,1,1,0.3453862000023946,None,25.85963039996568,25.865336399991065,25.865336399991065,26.071839999989606,26.28344939998351,26.276173699996434,26.27624209993519,26.28344939998351,26.981143899960443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub139,motor,3,0,2024-12-20_13h46.09.441,ASRT_motor,2023.2.3,141.52639051660123,2024-12-20 13h59.12.588288 +0800,
sequences/sub139_initial_random.csv,0,0,0,4,red,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.98875609994866,,,,,,,,,,,,,26.981382100027986,26.98875609994866,26.98875609994866,27.189622099976987,27.271243099938147,4,1,0.27632429997902364,None,27.27211969997734,27.27892079995945,27.27892079995945,27.48168169998098,27.68942359997891,27.68294930004049,27.682965300045907,27.68942359997891,28.3844086000463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub139,motor,3,0,2024-12-20_13h46.09.441,ASRT_motor,2023.2.3,141.52639051660123,2024-12-20 13h59.12.588288 +0800,
sequences/sub139_initial_random.csv,1,90,1,3,red,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.391579999937676,,,,,,,,,,,,,28.38493549998384,28.391579999937676,28.391579999937676,28.593987899948843,28.69765740004368,3,1,0.30392650002613664,None,28.69792339997366,28.7035400000168,28.7035400000168,28.912009999970905,29.122712400043383,29.11397319997195,29.113999599940144,29.122712400043383,29.81647920003161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub139,motor,3,0,2024-12-20_13h46.09.441,ASRT_motor,2023.2.3,141.52639051660123,2024-12-20 13h59.12.588288 +0800,
sequences/sub139_initial_random.csv,0,0,0,4,red,,,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.825852200039662,,,,,,,,,,,,,29.817866099998355,29.825852200039662,29.825852200039662,30.029887899989262,30.13135110004805,4,1,0.3019547000294551,None,30.1319705999922,30.13872199994512,30.13872199994512,30.34228959993925,30.550490699941292,30.544254799955525,30.54427549999673,30.550490699941292,31.24525719997473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub139,motor,3,0,2024-12-20_13h46.09.441,ASRT_motor,2023.2.3,141.52639051660123,2024-12-20 13h59.12.588288 +0800,
sequences/sub139_initial_random.csv,2,180,2,2,red,,,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.25241159996949,,,,,,,,,,,,,31.24577739997767,31.25241159996949,31.25241159996949,31.453465800033882,31.57361199997831,1,0,0.3146952000679448,None,31.574221199960448,31.583361199940555,31.583361199940555,31.7871826000046,31.995234500034712,31.989041200024076,31.98906709998846,31.995234500034712,32.690087600029074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub139,motor,3,0,2024-12-20_13h46.09.441,ASRT_motor,2023.2.3,141.52639051660123,2024-12-20 13h59.12.588288 +0800,
sequences/sub139_initial_random.csv,1,90,1,3,red,,,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.69630139996298,,,,,,,,,,,,,32.69076549995225,32.69630139996298,32.69630139996298,32.898290700046346,33.08316909999121,3,1,0.3829313999740407,None,33.08398680004757,33.09272840002086,33.09272840002086,33.29369930003304,33.502078699995764,33.495187300024554,33.495205600047484,33.502078699995764,34.19709989998955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub139,motor,3,0,2024-12-20_13h46.09.441,ASRT_motor,2023.2.3,141.52639051660123,2024-12-20 13h59.12.588288 +0800,
sequences/sub139_initial_random.csv,0,0,0,4,red,,,,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.20598690002225,,,,,,,,,,,,,34.19801809999626,34.20598690002225,34.20598690002225,34.41225059994031,34.51873769995291,4,1,0.30643780005630106,None,34.51943139999639,34.52967339998577,34.52967339998577,34.73102940001991,34.939032200025395,34.93278969998937,34.93280579999555,34.939032200025395,35.63438740000129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub139,motor,3,0,2024-12-20_13h46.09.441,ASRT_motor,2023.2.3,141.52639051660123,2024-12-20 13h59.12.588288 +0800,
sequences/sub139_initial_random.csv,2,180,2,2,red,,,,0,0,0,0,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.64070350001566,,,,,,,,,,,,,35.63489149999805,35.64070350001566,35.64070350001566,35.84251740004402,36.01302880002186,2,1,0.36869939998723567,None,36.013611100031994,36.01958239998203,36.01958239998203,36.22391559998505,36.433443199959584,36.426538400002755,36.426570200012065,36.433443199959584,37.12731979996897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub139,motor,3,0,2024-12-20_13h46.09.441,ASRT_motor,2023.2.3,141.52639051660123,2024-12-20 13h59.12.588288 +0800,
sequences/sub139_initial_random.csv,0,0,0,4,red,,,,0,0,0,0,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.13386880001053,,,,,,,,,,,,,37.12783909996506,37.13386880001053,37.13386880001053,37.33568479993846,37.489747699932195,4,1,0.34861939994152635,None,37.490285599953495,37.4952661000425,37.4952661000425,37.70346430002246,37.911511400016025,37.90565550001338,37.90573580004275,37.911511400016025,38.6061994000338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub139,motor,3,0,2024-12-20_13h46.09.441,ASRT_motor,2023.2.3,141.52639051660123,2024-12-20 13h59.12.588288 +0800,
sequences/sub139_initial_random.csv,0,0,0,4,red,,,,0,0,0,0,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.61309330002405,,,,,,,,,,,,,38.60682069999166,38.61309330002405,38.61309330002405,38.81457899999805,38.92934939998668,4,1,0.3128701000241563,None,38.930032399948686,38.93700459995307,38.93700459995307,39.140846899943426,39.34866429993417,39.342378100031056,39.34240690001752,39.34866429993417,40.044335999991745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub139,motor,3,0,2024-12-20_13h46.09.441,ASRT_motor,2023.2.3,141.52639051660123,2024-12-20 13h59.12.588288 +0800,
sequences/sub139_initial_random.csv,0,0,0,4,red,,,,0,0,0,0,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.05120170000009,,,,,,,,,,,,,40.04502770002,40.05120170000009,40.05120170000009,40.25226219999604,40.38660249998793,4,1,0.32829669991042465,None,40.38712610001676,40.3935679999413,40.3935679999413,40.59894009993877,40.80749369994737,40.800674599944614,40.80069629999343,40.80749369994737,41.501994799938984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub139,motor,3,0,2024-12-20_13h46.09.441,ASRT_motor,2023.2.3,141.52639051660123,2024-12-20 13h59.12.588288 +0800,
sequences/sub139_initial_random.csv,0,0,0,4,red,,,,0,0,0,0,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.50883209996391,,,,,,,,,,,,,41.50237030000426,41.50883209996391,41.50883209996391,41.710546399932355,41.852019499987364,4,1,0.33969699998851866,None,41.85259629995562,41.8590710000135,41.8590710000135,42.064322100020945,42.272732399986126,42.26569070003461,42.265707200043835,42.272732399986126,42.96779080003034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub139,motor,3,0,2024-12-20_13h46.09.441,ASRT_motor,2023.2.3,141.52639051660123,2024-12-20 13h59.12.588288 +0800,
sequences/sub139_initial_random.csv,1,90,1,3,red,,,,0,0,0,0,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.975346399936825,,,,,,,,,,,,,42.96848619997036,42.975346399936825,42.975346399936825,43.175932300044224,43.31802929996047,3,1,0.3394298000494018,None,43.31871989998035,43.325379799935035,43.325379799935035,43.52960320003331,43.73784389998764,43.731860299943946,43.731893999967724,43.73784389998764,44.43268970004283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub139,motor,3,0,2024-12-20_13h46.09.441,ASRT_motor,2023.2.3,141.52639051660123,2024-12-20 13h59.12.588288 +0800,
sequences/sub139_initial_random.csv,1,90,1,3,red,,,,0,0,0,0,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.43972769996617,,,,,,,,,,,,,44.433337999973446,44.43972769996617,44.43972769996617,44.640804299968295,44.797481299960054,3,1,0.3540458999341354,None,44.798126099980436,44.80427900003269,44.80427900003269,45.00892369996291,45.216587299946696,45.2100655999966,45.210080299992114,45.216587299946696,45.91765519999899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub139,motor,3,0,2024-12-20_13h46.09.441,ASRT_motor,2023.2.3,141.52639051660123,2024-12-20 13h59.12.588288 +0800,
